what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1285072425512
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285072425512
java.vm.specification.version,sysinfo,,,"1.0",1285072425512
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1285072425512
java.vm.version,sysinfo,,,"16.3-b01",1285072425512
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1285072426528
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285072428214
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285072451168
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1285072459526
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1285072459661
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1285072459862
opened,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1285072460041
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1285072460302
activated,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1285072460444
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285072460444
started,bundle,org.eclipse.cdt.make.core,7.0.0.201006141710,"org.eclipse.cdt.make.core",1285072461161
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.core",1285072461213
started,bundle,org.eclipse.cdt.core,5.2.0.201006141710,"org.eclipse.cdt.core",1285072461274
started,bundle,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui",1285072461346
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201006141710,"org.eclipse.cdt.make.ui",1285072461354
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285072465369
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285072493725
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285072504830
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1285072518794
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285072518825
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285072544210
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285072597874
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285072599539
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285072718583
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285072724348
